COUNT  CLUSTER-ID             CLUSTER-SIZE  |MACHINE-EVAL           |MACHINE-MIN-EVAL       |MACHINE-AVG-EVAL       |MACHINE-ALL-EVAL       |HUMAN-EVAL  |HAS-CYCLE   NOT GOOD  CYCLE  |COMMENT                |RESOURCES              

11     N8900698121049378126   2             |-BAD [0.667]-          |-BAD [0.625]-          |-BAD [0.625]-          |-BAD [0.646]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24212125p2                     | Baptism002                          | Hendrickx, Harmen                   |                                     | Hendrickx, Harmen                   | Cornelis, Altje                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1601-12-18
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |14954                               | Ecartico                            | Harmen Hendrickz                    | 1619-10-26                          | Harmen Hendrickz                    | Aeltjen Jans                        |                                     |                                     |                                     |                                     |                                     |                                     | 1595-12-05                          |

12     N5574477315792702498   2             |-BAD [0.667]-          |-BAD [0.628]-          |-BAD [0.628]-          |-BAD [0.647]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |9004                                | Ecartico                            | Trijntje Roelofs                    | 1627-06-15                          | Herman Bastejaensz                  | Trijntje Roelofs                    |                                     |                                     |                                     |                                     |                                     | 1650-01-11                          | 1603-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26384437p2                     | Marriage003                         | Roeloffs, Trijntje                  | 1631-09-10                          | Pieterss, Jan                       | Roeloffs, Trijntje                  |                                     | Jans, Jannetje                      |                                     |                                     |                                     |                                     |                                     |

13     P3850433364446367297   2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |15402                               | Ecartico                            | Jacques Geerts                      | 1646-11-17                          | Jacques Geerts                      |                                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26342271p1                     | Marriage003                         | Geerts, Jacques                     | 1646-11-17                          | Gherts, Jacques                     | Cornelis, Marritje                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
